,Station Id,Station Name,lat,lon,geometry
228,7247,Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,POINT (-79.4486 43.6521)
229,7248,Baldwin Ave / Spadina Ave - SMART,43.654905,-79.398448,POINT (-79.398448 43.654905)
230,7249,Dovercourt Rd / Harrison St (Green P) - SMART,43.651145,-79.423742,POINT (-79.423742 43.651145)
231,7250,St. George St / Russell St - SMART,43.660296,-79.397107,POINT (-79.39710700000001 43.660296)
232,7251,The Royal Ontario Museum (Bloor St Entrance),43.668561,-79.394403,POINT (-79.394403 43.668561)
233,7252,Robert St / Bloor St W - SMART,43.665846,-79.404998,POINT (-79.40499800000001 43.665846)
234,7253,John St  / Mercer St - SMART,43.6461,-79.3895,POINT (-79.3895 43.6461)
235,7254,Borden St / Bloor St W - SMART,43.665461,-79.40848,POINT (-79.40848 43.665461)
236,7255,Stewart St / Bathurst St  - SMART,43.643307,-79.402176,POINT (-79.402176 43.643307)
237,7256,Vanauley St / Queen St W - SMART,43.648437,-79.39838,POINT (-79.39838 43.648437)
238,7257,Dundas St W / St. Patrick St,43.6545174,-79.3895315,POINT (-79.3895315 43.6545174)
239,7258,Queen St E / Rushbrooke Ave,43.6626628,-79.3323698,POINT (-79.3323698 43.6626628)
240,7259,Lower Spadina Ave / Lake Shore Blvd,43.638497,-79.39192,POINT (-79.39192 43.638497)
241,7260,Spadina Ave / Adelaide St W,43.646688,-79.395267,POINT (-79.395267 43.646688)
242,7261,Queens Quay E / Lower Sherbourne St,43.645215,-79.364898,POINT (-79.364898 43.645215)
243,7262,Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684,POINT (-79.4229684 43.6809164)
244,7263,Walton St / Elizabeth St - SMART,43.657838,-79.38631,POINT (-79.38630999999999 43.657838)
245,7264,Bloor St E / Huntley St - SMART,43.671535,-79.379173,POINT (-79.37917299999999 43.671535)
246,7265,Wallace Ave / Symington Ave - SMART,43.661324,-79.449534,POINT (-79.449534 43.661324)
247,7266,Victoria Park Subway Station - SMART,43.6940155,-79.2889842,POINT (-79.2889842 43.6940155)
248,7267,Dundas St E / Pembroke St - SMART,43.658295,-79.372346,POINT (-79.37234599999999 43.658295)
